cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,9/16/2020,Trump,Biden,"",2.891383,2.741136,3.396292,2.085979,income,Real disposable personal income,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",-.42149,-.1776456,.2856202,-.6409113,combined,Average of all six indicators,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",.8792177,.7811658,1.441753,.1205781,stock market,S&P 500,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",-1.979027,-1.372494,-.711906,-2.033081,spending,Personal consumption expenditures,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",-1.62591,-1.127456,-.4668683,-1.788044,manufacturing,Industrial production,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",-3.260423,-2.679139,-2.018551,-3.339726,jobs,Nonfarm payrolls,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",.6025671,.6731386,1.333726,.012551,inflation,Consumer price index,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",2.891383,2.738046,3.398633,2.077458,income,Real disposable personal income,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/15/2020,Trump,Biden,"",-.4153653,-.1644564,.3026496,-.6315624,combined,Average of all six indicators,23:33:03 15 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",.8476182,.7488744,1.415811,.0819374,stock market,S&P 500,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",-1.979027,-1.364493,-.6975566,-2.03143,spending,Personal consumption expenditures,23:33:03 14 Sep 2020,40000
2020,President,polls-plus,9/14/2020,Trump,Biden,"",-2.057216,-1.598708,-.931771,-2.265645,manufacturing,Industrial production,23:33:03 14 Sep 2020,40000
